symbol,entry_date,exit_date,entry_price,exit_price,return
ABBV,2024-05-03,2024-05-30,163.7899932861328,156.30999755859375,-0.04566820950088135
ABBV,2024-06-10,2024-07-10,170.4600067138672,168.13999938964844,-0.013610273570580644
ABBV,2024-07-12,2024-08-02,170.27999877929688,189.2899932861328,0.11163962087805235
ABBV,2024-08-20,2024-09-17,196.1499938964844,193.4499969482422,-0.013764960653871339
ABBV,2024-09-30,2024-10-24,197.47999572753903,189.6499938964844,-0.03964959489799458
ABBV,2024-11-13,2024-11-18,170.35000610351562,166.27999877929688,-0.023892029224498845
ABBV,2024-11-22,2024-12-03,176.9499969482422,181.5,0.025713496073632047
ABBV,2024-12-06,2024-12-09,176.19000244140625,176.57000732421875,0.002156790269293829
ABBV,2024-12-10,2024-12-13,175.6699981689453,173.3699951171875,-0.013092748196797177
ABBV,2024-12-19,2024-12-27,171.52000427246094,178.00999450683594,0.03783809510677005
ABBV,2025-01-21,2025-02-18,172.61000061035156,196.25,0.13695613988793842
ABBV,2025-03-31,2025-04-04,209.5200042724609,186.9600067138672,-0.10767467114622897
ACN,2010-02-11,2010-02-12,40.27000045776367,40.4900016784668,0.005463154164447204
ACN,2010-02-17,2010-03-22,40.790000915527344,42.43000030517578,0.04020591696099096
ACN,2010-03-24,2010-03-31,41.790000915527344,41.95000076293945,0.0038286634100708206
ACN,2010-04-23,2010-04-30,44.66999816894531,43.63999938964844,-0.023057954365731992
ACN,2010-05-13,2010-05-18,40.81999969482422,39.2599983215332,-0.03821659443786851
ACN,2010-06-02,2010-06-07,36.83000183105469,36.54999923706055,-0.007602568017198608
ACN,2010-06-11,2010-06-24,37.63999938964844,37.54999923706055,-0.002391077418897103
ACN,2010-07-14,2010-08-13,40.09999847412109,38.84999847412109,-0.03117207101159114
ACN,2010-09-01,2010-09-22,37.400001525878906,42.2599983215332,0.1299464330848068
ACN,2010-10-12,2010-11-18,45.72999954223633,44.33000183105469,-0.03061442652953883
ACN,2010-12-06,2010-12-09,44.33000183105469,44.61000061035156,0.006316236583160384
ACN,2010-12-20,2011-01-25,48.68999862670898,51.720001220703125,0.06223049249239532
ACN,2011-02-17,2011-02-23,54.040000915527344,51.2599983215332,-0.05144342240740707
ACN,2011-03-04,2011-03-11,52.650001525878906,51.58000183105469,-0.0203228806042538
ACN,2011-03-31,2011-04-20,54.970001220703125,56.04999923706055,0.019647043703369338
ACN,2011-05-10,2011-05-24,56.959999084472656,56.38999938964844,-0.010007017275033614
ACN,2011-06-29,2011-07-14,59.90999984741211,60.83000183105469,0.015356401034648304
ACN,2011-07-26,2011-07-27,61.34000015258789,59.75,-0.025921097956189243
ACN,2011-08-23,2011-10-03,50.470001220703125,51.619998931884766,0.02278576745327876
ACN,2011-10-06,2011-11-10,55.29999923706055,57.0,0.03074142470873964
ACN,2011-12-06,2011-12-14,59.16999816894531,56.02999877929688,-0.053067424147672626
ACN,2011-12-16,2012-02-15,54.150001525878906,57.880001068115234,0.06888272275400986
ACN,2012-02-16,2012-02-17,58.45000076293945,58.43000030517578,-0.000342180624509969
ACN,2012-03-15,2012-03-16,63.630001068115234,63.619998931884766,-0.0001571921430546519
